Obs_No,AR #,Obs_Year,Year Live,DaysSinceLive,Reported Number of Employees,EE Year Count,ARR Year Growth,ARR Start,ARR_EndOfYear,BumpOut75K,growth_percent,Product 1,Product 2 ,Product 3,Product 4,Product 5,Product 6,Product 7,Product 8,Product 9,Product 10,Product 11,Product 12,Product 13,Product 14,Product 15,Product 16,Product 17,Product 18,Total Product Count,Industry: Agriculture and Natural Resources,Industry: Construction,Industry: Education,Industry: Finance and Insurance,Industry: Healthcare,Industry: Manufacturing,"Industry: Non-Profits, Membership and Human Services",Industry: Public Sector,Industry: Real Estate,Industry: Restaurants and Hospitality,Industry: Retail,Industry: Sports &Entertainment,"Industry: Technology, Professional, and Business Services",Industry: Transportation and Warehousing ,Industry: Utilities and Mining ,Industry: Wholesale Trade,Category_Account Health,RefNo_Cumulative,Connections Attendance,Training Hours,Training Students,Percent of Book,ACT Score,BI Score,Ave P_Score,Model 
335,EXP1000,0,2010,2096,229,232,4590,66900,71490,0,0.068609865,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,2,0,0,1.404494382,113.722655,267.053109,140.6691043,1
336,EXP1000,1,2010,2461,229,229,22003,71490,93493,1,0.307777312,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,4,0,0,1.306926239,108.036219,172.09015,121.5498622,1
337,FAR1005,0,2016,95,152,156,396,27840,28236,0,0.014224138,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,6,1.815517241,116.109638,43.69231,79.900974,1
338,FAR1005,1,2016,460,152,162,-336,28236,27900,0,-0.011899703,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28.5,10,1.858903527,115.683065,9.784952,42.40803667,1
339,FED1000,0,2002,5021,126,123,915,18384,19299,0,0.04977154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,72,10,1.2845953,49.444633,1.044294,25.2444635,1
340,FED1000,1,2002,5386,126,126,949,19299,20248,0,0.049173532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,72,10,1.253536453,47.384306,1.188369,24.2863375,1
341,FEE1000,0,2011,1908,263,251,9861,66897,76758,1,0.147405713,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1.24943719,107.229324,12.81672,145.3978989,1
342,FEE1001,0,2011,1733,255,275,0,55935,55935,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,153,18,1.755162242,115.940824,12.162794,115.051629,1
343,FEE1001,1,2011,2098,255,259,0,55935,55935,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,153,18,1.653043711,106.61469,10.694698,100.6035295,1
344,FIR1018,0,2009,2699,278,268,3954,66971,70925,0,0.05904048,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.284559838,103.45752,36.636692,86.037424,1
345,FIR1018,1,2009,3064,278,273,6266,70925,77191,1,0.088346845,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1.23556582,101.979268,10.375441,77.43687375,1
346,FIR1030,0,2013,915,362,350,2355,71364,73719,0,0.032999832,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2.103994942,104.730252,39.512001,88.04960367,1
347,FIR1030,1,2013,1280,362,351,3255,73719,76974,1,0.044154153,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2.048307991,98.41356,55.951304,190.3949203,1
348,FIR1032,0,2014,659,127,119,2700,28826,31526,0,0.093665441,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,74,19,1.684324459,100.154581,23.199229,68.15326833,1
349,FIR1032,1,2014,1024,127,126,551,31526,32077,0,0.017477638,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,90.5,31,1.534725447,103.536575,1.088233,65.87930467,1
350,FIR1034,0,2014,630,186,251,-1306,63396,62090,0,-0.020600669,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.698514102,148.92882,34.042875,126.3688441,1
351,FIR1034,1,2014,995,186,221,3158,62090,65248,0,0.050861652,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.526951026,126.569311,73.037819,114.4454518,1
352,FOL1000,0,2007,3466,167,116,4573,71780,76353,1,0.063708554,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0.310279427,91.591714,197.881175,144.7364445,1
353,FOR1002,0,2000,5793,791,768,5000,41564,46564,0,0.12029641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,173,20,3.54767184,9.036163,9.123408,9.0797855,1
354,FOR1002,1,2000,6158,791,768,1458,46564,48022,0,0.031311743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,187,25,3.166727371,30.368201,6.117881,18.243041,1
355,FOR1007,0,2007,3371,351,328,4562,55835,60397,0,0.081705024,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,123,21,1.251255482,100.083241,11.89467,69.285248,1
356,FOR1007,1,2007,3736,351,351,5785,60397,66182,0,0.095782903,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,144.26,30,1.23786667,104.292589,129.995751,88.24689425,1
357,FOR1016,0,2015,543,374,315,6477,71200,77677,1,0.090969101,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.43342294,93.004565,20.537787,67.33654883,1
358,FOU1004,0,2009,2734,751,666,9255,65807,75062,1,0.140638534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.15566471,9.036163,1.044294,3.813488,1
359,FOU1006,0,2012,1641,228,229,9790,71347,81137,1,0.137216701,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.06881919,123.667515,84.319277,160.3032537,1
360,FRO1007,1,2017,78,584,372,20703,48516,69219,0,0.426725204,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.047242147,49.975636,15.12839,49.975636,1
361,FRU1002,0,2016,179,268,275,-72,69636,69564,0,-0.001033948,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,57,10,1.326899879,108.949624,5.974201,94.08531933,1
362,FRU1002,1,2016,544,268,264,-168,69564,69396,0,-0.002415042,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,66,13,1.275142315,99.091999,1.306397,85.05087,1
363,GAI1000,1,2016,263,265,203,13392,51918,65310,0,0.257945221,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,21,8,1.173003583,81.096637,189.944557,147.808067,1
364,GAS1002,0,2013,1005,229,214,11124,65340,76464,1,0.170247934,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,0,0,1.483654729,103.046115,161.791674,187.2625511,1
365,GAS1003,0,2014,639,364,273,18618,64576,83194,1,0.288311447,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.864355599,82.604481,189.904124,132.8113633,1
366,GAT1003,1,2017,179,327,214,35935,54228,90163,1,0.662665044,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1.420674577,63.69864,64.185383,37.27111467,1
367,GCA1000,0,2014,634,314,288,26881,70140,97021,1,0.38324779,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1.76150556,101.74485,55.745263,70.873023,1
368,GCI1000,0,2012,1643,396,376,2155,60840,62995,0,0.035420776,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,58,12,1.316370809,108.317802,33.694473,107.4987553,1
369,GCI1000,1,2012,2008,396,386,1706,62995,64701,0,0.027081514,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,58,12,1.305147059,101.447141,3.38079,110.7663538,1
370,GEM1001,1,2016,327,169,187,600,53520,54120,0,0.011210762,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,44.42,13,1.352186099,118.321401,230.890388,172.8578473,1
371,GEN1013,0,2009,2404,154,150,0,28880,28880,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,23,3,1.542575072,108.601604,15.12839,91.3895665,1
372,GEN1013,1,2009,2769,154,150,838,28880,29718,0,0.02901662,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,23,3,1.542575072,102.230103,15.12839,85.4763895,1
373,GEO1003,0,2009,2642,142,151,5102,53181,58283,0,0.095936519,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,12,6,0.707002216,109.953799,3.012387,101.3739673,1
374,GEO1003,1,2009,3007,142,141,5828,58283,64111,0,0.099994853,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,12,6,0.602389173,99.656155,1.088233,89.81019725,1
375,GEO1004,0,2010,2250,239,207,3669,42916,46585,0,0.08549259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,44,7,1.027382896,116.216961,1.044294,58.6306275,1
376,GEO1004,1,2010,2615,239,224,3112,46585,49697,0,0.066802619,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,44,7,1.024198493,121.052095,1.088233,61.070164,1
377,GER1000,0,2012,1641,473,395,9327,65670,74997,0,0.142028323,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.28117862,90.111932,62.622587,57.3390795,1
378,GER1000,1,2012,2006,473,429,15673,74997,90670,1,0.208981693,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.287043245,101.113686,34.247463,37.87108425,1
379,GIF1000,0,1999,6035,613,595,9914,40270,50184,0,0.246188229,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2.881205674,9.036163,1.548227,5.292195,1
380,GIF1000,1,1999,6400,613,600,502,50184,50686,0,0.010003188,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,2.331420373,110.39284,5.749655,58.0712475,1
381,GIN1000,0,2012,1550,192,171,-223,40176,39953,0,-0.005550577,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,40,10,1.468413978,97.294277,46.313888,147.6756244,1
382,GIN1000,1,2012,1915,192,177,3147,39953,43100,0,0.078767552,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,40,10,1.528428546,93.049021,22.94703,119.2605914,1
383,GLO1006,0,2015,367,149,191,5728,70944,76672,1,0.080739738,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1.251902909,135.730364,42.317805,115.0481893,1
384,GRA1003,0,2002,4949,175,151,3107,42696,45803,0,0.072770283,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,39.5,6,0.721472737,64.073222,1.044294,32.558758,1
385,GRA1003,1,2002,5314,175,161,24719,45803,70522,0,0.539680807,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,57,10,0.717070934,93.36671,1.088233,34.17692233,1
386,GRA1004,0,2004,4315,359,375,1528,32895,34423,0,0.046450828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,6,2,2.428180575,118.752861,2.99304,96.570129,1
387,GRA1004,1,2004,4680,359,374,985,34423,35408,0,0.028614589,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,11.92,4,2.314211213,113.290947,15.12839,77.8688605,1
388,GRE1002,0,2003,4747,74,74,888,19044,19932,0,0.046628859,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,48,4,0.874291115,103.733503,1.044294,52.3888985,1
389,GRE1002,1,2003,5112,74,74,996,19932,20928,0,0.049969898,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,48,4,0.835340157,102.292472,1.088233,51.6903525,1
390,GRE1029,0,2015,357,438,208,13884,50988,64872,0,0.272299365,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.505295364,54.394566,11.422931,22.18513033,1
391,GRE1029,1,2015,722,438,262,18876,64872,83748,1,0.290972993,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.490288568,69.268098,2.512332,23.0766455,1
392,GRI1005,0,2014,792,274,240,3857,33966,37823,0,0.113554731,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.844197138,91.682391,5.972901,48.827646,1
393,GRI1005,1,2014,1157,274,254,6383,37823,44206,0,0.168759749,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1.75276343,92.05844,16.326149,54.1922945,1
394,GRO1008,1,2017,53,204,220,-636,67212,66576,0,-0.009462596,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,6,1.541688984,119.804136,51.264786,53.3805542,1
395,GSW1000,0,2003,4804,227,244,211,64709,64920,0,0.003260752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,364,26,0.690045249,40.591371,341.720199,191.155785,1
396,GSW1000,1,2003,5169,227,231,1200,64920,66120,0,0.018484288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,373.5,29,0.651152861,99.410994,209.772894,154.591944,1
397,GUR1000,0,2001,5432,1153,1173,1464,53496,54960,0,0.027366532,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,52,10,5.525572005,9.036163,154.60489,81.8205265,1
398,GUR1000,1,2001,5797,1153,1182,2184,54960,57144,0,0.039737991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,52,10,5.419650655,30.368201,68.826884,49.5975425,1
399,HAM1003,0,2013,1207,482,370,4386,71424,75810,1,0.06140793,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.84937836,84.245653,5.61254,83.27545986,1
400,HAN1007,0,2011,1795,304,309,2280,53308,55588,0,0.042770316,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,2,1.530288364,110.883261,1.044294,78.91153333,1
401,HAN1007,1,2011,2160,304,307,2961,55588,58549,0,0.053266892,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,2,1.458016717,103.79978,1.088233,71.91381467,1
402,HAN1008,0,2012,1460,363,361,4341,48088,52429,0,0.090272001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,62.5,13,1.508918634,78.465034,8.642403,43.5537185,1
403,HAN1008,1,2012,1825,363,376,1739,52429,54168,0,0.033168666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,62.5,13,1.441480207,71.555412,4.346122,37.950767,1
404,HAR1014,0,2015,359,193,165,1932,54168,56100,0,0.035666814,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.379873726,93.620575,16.834251,94.45181743,1
405,HAR1014,1,2015,724,193,165,8118,56100,64218,0,0.144705882,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.332352941,104.478512,9.052388,96.05820886,1
406,HEA1012,0,2011,1732,342,302,7730,72834,80564,1,0.106131752,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.281242277,99.077125,4.266053,67.96052683,1
407,HEN1004,1,2016,242,230,198,11868,56508,68376,0,0.21002336,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,59.25,14,1.313973243,90.27345,165.771802,93.21183133,1
408,HER1008,1,2016,242,172,193,192,62940,63132,0,0.003050524,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1.324690181,111.056968,14.532047,87.73917714,1
409,HGF1000,1,2016,264,240,200,4499,53299,57798,0,0.084410589,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1.44092219,95.791683,308.142889,161.7327972,1
410,HIG1001,0,2004,4561,461,444,12157,73334,85491,1,0.165775766,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1.598377623,106.327839,402.938542,208.9679106,1
411,HIL1002,0,2010,2314,413,331,16025,67626,83651,1,0.236965073,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1.806095289,76.965702,36.126669,67.8994495,1
412,HNC1000,1,2013,1585,72,484,-52578,72792,20214,0,-0.722304649,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,92.5,14,1.895000956,165.915168,15.277596,195.7902408,1
413,HOI1000,0,2014,850,396,326,11373,67473,78846,1,0.168556311,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.492952737,81.836281,53.621079,119.7087265,1
414,HOP1000,0,2010,2096,227,238,-8510,56263,47753,0,-0.151253932,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,35,7,1.307106599,114.923787,7.326479,119.3562905,1
415,HOP1000,1,2010,2461,227,202,3093,47753,50846,0,0.0647708,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,37,10,1.307106599,99.238831,1.902961,92.93182575,1
416,HOR1004,0,2010,2286,228,218,2644,50714,53358,0,0.052135505,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,2,1.173512848,105.125028,19.053708,55.72923325,1
417,HOR1004,1,2010,2651,228,217,3666,53358,57024,0,0.068705724,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,2,1.110250263,102.331064,10.336267,50.01799567,1
418,HOS1012,1,2017,179,199,209,-3607,54749,51142,0,-0.065882482,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39.26,18,1.557513589,104.906121,72.049351,75.6331734,1
419,HUM1003,1,2016,274,166,186,1356,34464,35820,0,0.039345404,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,40,15,1.748607242,118.318897,17.497542,54.1595065,1
420,HUN1001,0,1999,6198,2408,2409,3120,64584,67704,0,0.048309179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,120,9,5.643673356,37.620028,1.34656,19.483294,1
421,HUN1001,1,1999,6563,2408,2377,3120,67704,70824,0,0.046082949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,121.5,10,5.336804325,77.467171,1.088233,39.277702,1
422,HUN1009,1,2017,173,109,109,11027,58763,69790,0,0.187652094,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,22.84,7,0.934877167,165.915168,130.322813,196.7371813,1
423,IDE1000,0,2003,4893,103,102,465,11861,12326,0,0.039204114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.651186791,9.036163,140.555042,74.7956025,1
424,IDE1000,1,2003,5258,103,101,1246,12326,13572,0,0.101087133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.573254671,30.368201,15.12839,30.368201,1
425,IDE1002,0,2010,2370,131,125,0,33408,33408,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,30,9,1.066361351,92.078015,20.677499,72.381188,1
426,IDE1002,1,2010,2735,131,119,1638,33408,35046,0,0.049030172,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,30,9,1.015176006,77.845646,2.010796,132.725729,1
427,IDE1005,1,2016,292,295,242,18161,74249,92410,1,0.244595887,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.251569715,91.735361,159.353346,92.49371425,1
428,ILL1000,0,2009,2375,341,337,294,58295,58589,0,0.005043314,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,45,15,1.716949128,97.519808,2.097722,61.763777,1
429,ILL1000,1,2009,2740,341,341,2680,58589,61269,0,0.045742375,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,47.5,19,1.728610373,93.55983,3.420564,61.052632,1
430,IMS1001,0,2012,1614,337,428,0,61067,61067,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,136.5,23,1.997476871,141.470688,56.069768,161.0865923,1
